	BlockNumber	SequenceNumber	EventNumber	Time	isHit	target	pressed	sequence
602	8	124	5	2804	1	4	4	0
603	8	125	1	276	1	4	4	0
604	8	125	2	625	1	1	1	0
605	8	125	3	1023	1	3	3	0
606	8	125	4	1304	1	2	2	0
607	8	125	5	1650	1	4	4	0
608	8	126	1	277	1	4	4	0
609	8	126	2	1376	0	1	3	0
610	8	126	3	2532	1	3	3	0
611	8	126	4	2783	1	2	2	0
612	8	126	5	3563	1	4	4	0
613	8	127	1	284	1	4	4	0
614	8	127	2	641	1	1	1	0
615	8	127	3	1099	1	3	3	0
616	9	128	1	838	1	4	4	0
617	9	128	2	1172	1	1	1	0
618	9	128	3	1503	1	3	3	0
619	9	128	4	1898	1	2	2	0
620	9	128	5	2179	1	4	4	0
621	9	129	1	250	1	4	4	0
622	9	129	2	508	1	1	1	0
623	9	129	3	815	1	3	3	0
624	9	129	4	1101	1	2	2	0
625	9	129	5	1419	1	4	4	0
626	9	130	1	285	1	4	4	0
627	9	130	2	509	1	1	1	0
628	9	130	3	862	1	3	3	0
629	9	130	4	1179	1	2	2	0
630	9	130	5	1437	1	4	4	0
631	9	131	1	288	1	4	4	0
632	9	131	2	649	1	1	1	0
633	9	131	3	1039	1	3	3	0
634	9	131	4	1391	1	2	2	0
635	9	131	5	1724	1	4	4	0
636	9	132	1	381	1	4	4	0
637	9	132	2	626	1	1	1	0
638	9	132	3	1001	1	3	3	0
639	9	132	4	1401	1	2	2	0
640	9	132	5	1669	1	4	4	0
641	9	133	1	298	1	4	4	0
642	9	133	2	492	1	1	1	0
643	9	133	3	930	1	3	3	0
644	9	133	4	1349	1	2	2	0
645	9	133	5	1738	1	4	4	0
646	9	134	1	263	1	4	4	0
647	9	134	2	519	1	1	1	0
648	9	134	3	1426	1	3	3	0
649	9	134	4	1780	1	2	2	0
650	9	134	5	2130	1	4	4	0
651	9	135	1	206	1	4	4	0
652	9	135	2	448	1	1	1	0
653	9	135	3	868	1	3	3	0
654	9	135	4	1176	1	2	2	0
655	9	135	5	1516	1	4	4	0
656	9	136	1	215	1	4	4	0
657	9	136	2	467	1	1	1	0
658	9	136	3	792	1	3	3	0
659	9	136	4	1159	1	2	2	0
660	9	136	5	1411	1	4	4	0
661	9	137	1	234	1	4	4	0
662	9	137	2	513	1	1	1	0
663	9	137	3	868	1	3	3	0
664	9	137	4	1185	1	2	2	0
665	9	137	5	1516	1	4	4	0
666	9	138	1	248	1	4	4	0
667	9	138	2	474	1	1	1	0
668	9	138	3	791	1	3	3	0
669	9	138	4	1143	1	2	2	0
670	9	138	5	1570	1	4	4	0
671	9	139	1	226	1	4	4	0
672	9	139	2	618	1	1	1	0
673	9	139	3	999	1	3	3	0
674	9	139	4	1231	1	2	2	0
675	9	139	5	1621	1	4	4	0
676	9	140	1	228	1	4	4	0
677	9	140	2	564	1	1	1	0
678	9	140	3	877	1	3	3	0
679	9	140	4	1273	1	2	2	0
680	9	140	5	1593	1	4	4	0
681	9	141	1	247	1	4	4	0
682	9	141	2	537	1	1	1	0
683	9	141	3	1118	1	3	3	0
684	9	141	4	1443	1	2	2	0
685	9	141	5	1828	1	4	4	0
686	9	142	1	240	1	4	4	0
687	9	142	2	509	1	1	1	0
688	9	142	3	972	1	3	3	0
689	9	142	4	1501	1	2	2	0
690	9	142	5	1950	1	4	4	0
691	9	143	1	194	1	4	4	0
692	9	143	2	503	1	1	1	0
693	9	143	3	1043	1	3	3	0
694	9	143	4	1356	1	2	2	0
695	9	143	5	1756	1	4	4	0
696	9	144	1	253	1	4	4	0
697	9	144	2	495	1	1	1	0
698	9	144	3	971	1	3	3	0
699	9	144	4	1204	1	2	2	0
700	9	144	5	1620	1	4	4	0
701	9	145	1	244	1	4	4	0
702	9	145	2	629	1	1	1	0
703	9	145	3	1134	1	3	3	0
704	10	146	1	1141	1	4	4	0
705	10	146	2	1525	1	1	1	0
706	10	146	3	1876	1	3	3	0
707	10	146	4	2222	1	2	2	0
708	10	146	5	2514	1	4	4	0
709	10	147	1	360	1	4	4	0
710	10	147	2	608	1	1	1	0
711	10	147	3	1061	1	3	3	0
712	10	147	4	1328	1	2	2	0
713	10	147	5	1695	1	4	4	0
714	10	148	1	179	1	4	4	0
715	10	148	2	364	1	1	1	0
716	10	148	3	774	1	3	3	0
717	10	148	4	1030	1	2	2	0
718	10	148	5	1336	1	4	4	0
719	10	149	1	269	1	4	4	0
720	10	149	2	577	1	1	1	0
721	10	149	3	889	1	3	3	0
722	10	149	4	1220	1	2	2	0
723	10	149	5	1687	1	4	4	0
724	10	150	1	333	1	4	4	0
725	10	150	2	697	1	1	1	0
726	10	150	3	1443	1	3	3	0
727	10	150	4	1790	1	2	2	0
728	10	150	5	2140	1	4	4	0
729	10	151	1	257	1	4	4	0
730	10	151	2	512	1	1	1	0
731	10	151	3	882	1	3	3	0
732	10	151	4	1249	1	2	2	0
733	10	151	5	1567	1	4	4	0
734	10	152	1	242	1	4	4	0
735	10	152	2	489	1	1	1	0
736	10	152	3	890	1	3	3	0
737	10	152	4	1192	1	2	2	0
738	10	152	5	1509	1	4	4	0
739	10	153	1	228	1	4	4	0
740	10	153	2	479	1	1	1	0
741	10	153	3	850	1	3	3	0
